worker_id,date,temperature,humidity,rain_mm,precipitation_mm,aqi,uv_index,cloud_cover,severity_score,insurance_applicable,claim_amount
W0043,2024-06-25 17:04:20.064563,22.0,78.3,0.0,0.0,46,2.9,98.2,0.0,0,0.0
W0044,2025-03-20 17:04:20.064563,10.2,86.4,0.0,0.0,57,2.1,86.2,0.0,0,0.0
W0045,2025-03-05 17:04:20.064563,17.8,84.5,0.0,0.0,82,2.3,88.5,0.0,0,0.0
W0046,2025-11-26 17:04:20.064563,20.4,83.9,0.0,0.0,106,5.1,13.0,0.0,0,0.0
W0047,2024-12-13 17:04:20.064563,35.6,58.7,0.0,0.0,59,4.1,87.0,1.2000000000000028,0,0.0
W0048,2024-05-01 17:04:20.064563,28.4,71.9,0.0,0.0,91,3.3,94.2,0.0,0,0.0
W0049,2025-07-01 17:04:20.064563,7.4,100.0,3.4,3.4,110,3.8,81.9,0.0,0,0.0
W0050,2025-09-18 17:04:20.064563,28.2,49.9,0.0,0.0,104,6.9,9.1,0.0,0,0.0
W0051,2024-07-23 17:04:20.064563,21.1,84.6,5.9,5.9,53,5.3,8.5,0.0,0,0.0
W0052,2025-04-09 17:04:20.064563,18.2,75.9,2.4,2.4,85,3.1,35.8,0.0,0,0.0
W0053,2024-06-06 17:04:20.064563,31.1,52.4,1.4,1.4,77,2.6,70.5,0.0,0,0.0
W0054,2025-10-04 17:04:20.064563,35.3,46.0,0.0,0.0,60,3.9,1.2,0.5999999999999943,0,0.0
W0055,2025-01-12 17:04:20.064563,34.3,62.9,0.0,0.0,82,2.3,95.1,0.0,0,0.0
W0056,2025-12-21 17:04:20.064563,16.6,82.9,24.6,24.6,15,3.0,52.5,12.3,0,0.0
W0057,2025-12-11 17:04:20.064563,21.9,60.3,2.6,2.6,72,2.7,35.8,0.0,1,31.25
W0058,2025-03-23 17:04:20.064563,28.3,72.3,0.0,0.0,47,4.0,56.1,0.0,0,0.0
W0059,2025-10-30 17:04:20.064563,34.8,43.5,0.0,0.0,40,3.7,71.6,0.0,1,39.08
W0060,2024-09-30 17:04:20.064563,20.2,81.1,0.0,0.0,70,3.7,27.3,0.0,0,0.0
W0061,2026-03-09 17:04:20.064563,23.1,77.7,16.2,16.2,49,2.4,29.1,4.05,0,0.0
W0062,2024-05-28 17:04:20.064563,13.9,98.0,0.5,0.5,52,3.1,46.8,0.0,0,0.0
W0063,2024-05-03 17:04:20.064563,13.0,100.0,4.5,4.5,78,1.9,67.0,0.0,0,0.0
W0064,2026-01-24 17:04:20.064563,33.1,46.7,0.0,0.0,77,3.6,70.6,0.0,0,0.0
W0065,2024-11-06 17:04:20.064563,38.6,51.6,0.0,0.0,89,1.7,32.4,7.200000000000003,0,0.0
W0066,2025-01-08 17:04:20.064563,24.3,70.8,0.0,0.0,96,3.5,32.2,0.0,0,0.0
W0067,2024-06-07 17:04:20.064563,35.0,61.8,0.0,0.0,104,3.1,48.7,0.0,0,0.0
W0068,2024-11-11 17:04:20.064563,28.6,69.2,0.0,0.0,89,3.2,54.2,0.0,0,0.0
W0069,2024-06-29 17:04:20.064563,18.5,78.7,1.2,1.2,69,2.2,64.9,0.0,0,0.0
W0070,2025-04-11 17:04:20.064563,28.6,62.7,0.0,0.0,81,1.6,61.8,0.0,0,0.0
W0071,2024-12-27 17:04:20.064563,40.4,38.3,0.0,0.0,124,4.6,37.3,10.799999999999997,0,0.0
W0072,2025-06-25 17:04:20.064563,24.6,82.9,0.0,0.0,98,1.3,29.7,0.0,0,0.0
W0073,2025-12-28 17:04:20.064563,40.6,53.6,0.0,0.0,79,2.8,30.8,11.200000000000003,0,0.0
W0074,2025-03-26 17:04:20.064563,-1.2,100.0,4.3,6.4,67,1.6,64.5,3.5999999999999996,0,0.0
W0075,2024-08-31 17:04:20.064563,33.2,57.1,0.0,0.0,66,2.1,43.3,0.0,0,0.0
W0076,2025-04-01 17:04:20.064563,25.9,64.6,0.0,0.0,55,2.3,13.4,0.0,0,0.0
W0077,2025-03-16 17:04:20.064563,22.0,66.2,0.0,0.0,113,0.9,0.6,0.0,0,0.0
W0078,2024-10-18 17:04:20.064563,25.9,74.7,0.0,0.0,88,0.4,3.0,0.0,0,0.0
W0079,2026-02-02 17:04:20.064563,5.1,91.9,0.0,0.0,53,0.0,86.8,0.0,0,0.0
W0080,2024-12-16 17:04:20.064563,22.8,94.3,1.8,1.8,73,0.7,45.8,0.0,0,0.0
W0081,2026-03-06 17:04:20.064563,28.6,54.1,0.8,0.8,103,1.2,65.7,0.0,0,0.0
W0082,2026-02-15 17:04:20.064563,39.8,53.1,0.0,0.0,70,0.0,92.9,9.599999999999994,0,0.0
W0083,2026-01-10 17:04:20.064563,19.8,95.9,0.0,0.0,63,0.0,12.6,0.0,0,0.0
W0084,2024-05-30 17:04:20.064563,16.9,90.6,2.1,2.1,82,1.7,44.8,0.0,0,0.0
W0085,2025-12-01 17:04:20.064563,20.0,81.8,0.0,0.0,92,0.0,53.9,0.0,0,0.0
W0086,2025-12-28 17:04:20.064563,34.2,49.1,0.0,0.0,70,0.9,84.2,0.0,0,0.0
W0087,2024-09-09 17:04:20.064563,28.3,53.8,3.4,3.4,61,0.0,99.4,0.0,0,0.0
W0088,2025-09-15 17:04:20.064563,19.7,88.1,18.4,18.4,52,1.5,71.2,4.6,0,0.0
W0089,2024-11-23 17:04:20.064563,30.1,79.9,0.0,0.0,57,0.0,64.2,0.04950000000000073,0,0.0
W0090,2024-09-01 17:04:20.064563,26.0,66.7,0.0,0.0,69,0.0,92.0,0.0,0,0.0
W0091,2025-07-04 17:04:20.064563,34.7,46.6,0.0,0.0,77,0.0,83.7,0.0,0,0.0
W0092,2025-04-10 17:04:20.064563,18.0,58.4,3.7,3.7,87,0.0,86.5,0.0,0,0.0
W0093,2024-12-19 17:04:20.064563,21.7,67.6,0.0,0.0,71,0.8,0.3,0.0,0,0.0
W0094,2026-01-02 17:04:20.064563,21.1,77.2,0.0,0.0,91,0.3,51.4,0.0,0,0.0
W0095,2026-02-20 17:04:20.064563,10.4,100.0,0.0,0.0,103,0.0,78.3,0.0,0,0.0
W0096,2025-10-09 17:04:20.064563,28.0,74.8,6.8,6.8,56,0.0,18.1,0.0,0,0.0
W0097,2024-10-28 17:04:20.064563,27.6,71.6,0.0,0.0,144,0.0,75.1,0.0,0,0.0
W0098,2026-02-17 17:04:20.064563,25.1,68.4,0.0,0.0,108,0.0,0.9,0.0,0,0.0
W0099,2025-02-13 17:04:20.064563,22.7,70.2,1.0,1.0,83,1.4,57.5,0.0,0,0.0
W0100,2024-05-14 17:04:20.064563,10.8,100.0,8.3,8.3,59,0.0,85.1,0.0,0,0.0
W0101,2024-11-07 17:04:20.064563,20.8,80.8,0.0,0.0,68,0.9,43.1,0.0,0,0.0
W0102,2024-04-19 17:04:20.064563,21.6,56.6,1.5,1.5,109,0.0,73.9,0.0,0,0.0
W0103,2025-02-04 17:04:20.064563,17.0,77.8,0.0,0.0,83,0.0,53.0,0.0,0,0.0
W0104,2025-05-02 17:04:20.064563,23.4,66.3,5.4,5.4,39,0.0,64.7,0.0,0,0.0
W0105,2024-12-17 17:04:20.064563,29.0,61.0,0.6,0.6,43,0.7,51.7,0.0,0,0.0
W0106,2024-05-24 17:04:20.064563,43.9,49.8,0.8,0.8,79,0.0,47.6,17.799999999999997,1,125.62
W0107,2024-10-20 17:04:20.064563,26.7,68.8,1.6,1.6,78,0.9,84.2,0.0,0,0.0
W0108,2025-10-19 17:04:20.064563,27.6,67.9,4.5,4.5,51,1.3,9.3,0.0,0,0.0
W0109,2025-02-03 17:04:20.064563,24.3,86.8,0.0,0.0,48,0.0,58.5,0.0,0,0.0
W0110,2024-10-21 17:04:20.064563,5.8,94.3,1.6,1.6,35,0.8,11.5,0.0,0,0.0
W0111,2026-01-18 17:04:20.064563,24.7,91.5,0.0,0.0,63,1.4,56.3,0.0,0,0.0
W0112,2025-08-11 17:04:20.064563,25.6,64.9,0.0,0.0,70,1.0,96.4,0.0,0,0.0
W0113,2025-04-27 17:04:20.064563,45.0,43.4,0.0,0.0,91,0.0,5.7,20.0,1,551.21
W0114,2026-01-05 17:04:20.064563,23.1,72.6,0.0,0.0,75,0.0,42.2,0.0,1,22.3
W0115,2025-06-30 17:04:20.064563,28.0,69.2,0.0,0.0,98,0.0,80.2,0.0,0,0.0
W0116,2024-08-11 17:04:20.064563,24.7,77.5,0.0,0.0,89,0.0,37.0,0.0,0,0.0
W0117,2024-12-14 17:04:20.064563,13.3,94.4,6.1,6.1,75,0.8,52.0,0.0,0,0.0
W0118,2024-08-07 17:04:20.064563,36.4,47.8,0.0,0.0,96,0.0,11.5,2.799999999999997,0,0.0
W0119,2024-11-25 17:04:20.064563,32.5,50.0,0.0,0.0,48,0.4,22.3,0.0,0,0.0
W0120,2025-10-13 17:04:20.064563,32.9,85.7,3.7,3.7,58,0.0,68.6,2.2764999999999995,0,0.0
W0121,2025-09-20 17:04:20.064563,15.9,81.3,0.0,0.0,124,0.3,82.9,0.0,0,0.0
W0122,2024-12-12 17:04:20.064563,39.0,58.5,0.0,0.0,37,0.0,64.6,8.0,0,0.0
W0123,2025-11-06 17:04:20.064563,11.0,77.5,3.0,3.0,63,0.4,83.7,0.0,0,0.0
W0124,2025-05-30 17:04:20.064563,30.9,60.9,0.0,0.0,84,0.0,60.6,0.0,0,0.0
W0125,2025-11-05 17:04:20.064563,45.0,41.2,0.0,0.0,37,0.0,81.0,20.0,1,210.6
W0126,2025-04-30 17:04:20.064563,15.1,92.1,0.0,0.0,59,0.5,98.3,0.0,0,0.0
W0127,2025-03-23 17:04:20.064563,19.3,53.8,0.0,0.0,114,1.2,8.3,0.0,0,0.0
W0128,2024-10-28 17:04:20.064563,26.0,72.7,0.0,0.0,77,0.0,48.0,0.0,0,0.0
W0129,2024-08-06 17:04:20.064563,20.0,68.6,1.6,1.6,59,0.8,19.0,0.0,0,0.0
W0130,2025-08-21 17:04:20.064563,9.5,99.0,0.0,0.0,77,0.0,46.5,0.0,0,0.0
W0131,2025-08-05 17:04:20.064563,25.7,61.1,0.0,0.0,61,0.0,50.0,0.0,0,0.0
W0132,2024-06-19 17:04:20.064563,14.4,79.9,0.0,0.0,107,0.0,62.2,0.0,0,0.0
W0133,2024-05-05 17:04:20.064563,29.7,62.7,0.3,0.3,52,0.0,43.9,0.0,1,36.65
W0134,2024-07-08 17:04:20.064563,15.8,75.8,0.6,0.6,60,0.0,32.5,0.0,0,0.0
W0135,2024-08-21 17:04:20.064563,40.5,44.5,0.0,0.0,42,1.3,4.3,11.0,1,130.07
W0136,2025-12-20 17:04:20.064563,17.2,72.3,0.0,0.0,65,0.0,3.5,0.0,0,0.0
W0137,2024-08-28 17:04:20.064563,21.8,59.0,0.0,0.0,67,0.0,17.5,0.0,0,0.0
W0138,2026-02-12 17:04:20.064563,33.1,70.5,0.0,0.0,94,0.0,44.9,0.07750000000000004,0,0.0
W0139,2025-05-24 17:04:20.064563,12.7,78.0,0.0,0.0,50,1.4,41.8,0.0,0,0.0
W0140,2025-11-18 17:04:20.064563,27.3,67.3,3.5,3.5,72,0.0,19.1,0.0,0,0.0
W0141,2024-05-22 17:04:20.064563,38.1,60.4,8.5,8.5,54,0.8,82.2,6.200000000000003,0,0.0
W0142,2025-04-16 17:04:20.064563,8.9,90.5,0.0,0.0,31,0.2,68.3,0.0,0,0.0
W0143,2025-04-12 17:04:20.064563,26.8,61.5,0.0,0.0,54,0.0,34.3,0.0,0,0.0
W0144,2025-11-18 17:04:20.064563,27.6,70.9,0.0,0.0,53,0.0,79.7,0.0,0,0.0
W0145,2025-07-10 17:04:20.064563,32.8,72.0,0.0,0.0,101,0.0,98.9,0.2799999999999997,0,0.0
W0146,2025-09-10 17:04:20.064563,12.6,79.4,0.0,0.0,78,0.6,24.5,0.0,0,0.0
W0147,2024-11-30 17:04:20.064563,11.8,90.8,2.9,2.9,64,0.0,36.3,0.0,0,0.0
W0148,2025-10-05 17:04:20.064563,30.2,47.3,9.5,9.5,15,0.6,99.3,0.0,0,0.0
W0149,2024-03-29 17:04:20.064563,28.0,64.1,0.0,0.0,28,0.0,13.8,0.0,0,0.0
W0150,2026-02-12 17:04:20.064563,27.5,69.1,0.0,0.0,80,0.5,7.7,0.0,0,0.0
W0151,2024-07-13 17:04:20.064563,28.5,58.8,6.5,6.5,68,0.0,52.1,0.0,0,0.0
W0152,2026-02-14 17:04:20.064563,18.2,78.1,6.9,6.9,36,0.0,46.8,0.0,0,0.0
W0153,2025-09-18 17:04:20.064563,27.3,54.9,0.0,0.0,65,0.1,7.8,0.0,0,0.0
W0154,2024-12-16 17:04:20.064563,27.9,68.9,3.0,3.0,57,0.1,29.0,0.0,0,0.0
W0155,2026-01-03 17:04:20.064563,17.9,93.8,0.0,0.0,67,0.0,41.9,0.0,0,0.0
W0156,2025-03-01 17:04:20.064563,43.7,33.5,0.0,0.0,55,2.1,82.2,17.400000000000006,1,93.64
W0157,2024-07-10 17:04:20.064563,29.7,59.2,0.0,0.0,79,0.6,70.8,0.0,0,0.0
W0158,2025-01-12 17:04:20.064563,13.1,95.4,8.0,8.0,68,0.7,91.5,0.0,0,0.0
W0159,2025-06-06 17:04:20.064563,31.6,74.8,0.2,0.2,42,0.2,33.2,0.3840000000000001,1,25.43
W0160,2024-08-26 17:04:20.064563,15.3,72.2,0.0,0.0,37,0.5,30.9,0.0,1,29.38
W0161,2025-06-25 17:04:20.064563,32.9,59.0,0.0,0.0,44,0.2,46.3,0.0,0,0.0
W0162,2024-03-21 17:04:20.064563,36.6,58.0,0.0,0.0,61,1.8,0.8,3.200000000000003,0,0.0
W0163,2024-12-12 17:04:20.064563,16.8,83.8,0.0,0.0,66,0.0,20.7,0.0,0,0.0
W0164,2025-08-12 17:04:20.064563,34.6,33.3,0.0,0.0,75,0.8,21.1,0.0,0,0.0
W0165,2024-09-16 17:04:20.064563,29.1,71.3,0.0,0.0,78,2.1,6.1,0.0,0,0.0
W0166,2025-08-19 17:04:20.064563,33.2,75.4,0.0,0.0,65,0.7,45.5,0.8640000000000017,0,0.0
W0167,2024-07-04 17:04:20.064563,44.0,45.2,0.0,0.0,62,0.0,90.6,18.0,1,145.15
W0168,2025-12-18 17:04:20.064563,22.5,65.9,0.0,0.0,90,0.0,0.4,0.0,0,0.0
W0169,2025-01-17 17:04:20.064563,17.5,78.7,0.0,0.0,57,0.0,62.8,0.0,0,0.0
W0170,2026-01-01 17:04:20.064563,16.1,100.0,2.7,2.7,62,0.4,87.9,0.0,0,0.0
W0171,2025-08-19 17:04:20.064563,16.8,93.8,2.6,2.6,57,1.8,10.8,0.0,0,0.0
W0172,2025-12-01 17:04:20.064563,24.2,80.1,17.0,17.0,17,0.6,91.7,4.25,1,36.15
W0173,2024-10-07 17:04:20.064563,28.4,70.9,0.0,0.0,51,0.0,81.9,0.0,0,0.0
W0174,2024-08-21 17:04:20.064563,27.8,61.7,0.0,0.0,80,0.0,21.5,0.0,0,0.0
W0175,2025-04-04 17:04:20.064563,33.3,58.1,0.0,0.0,52,0.0,90.5,0.0,0,0.0
W0176,2024-08-30 17:04:20.064563,25.1,71.5,2.6,2.6,41,0.0,80.4,0.0,0,0.0
W0177,2025-09-21 17:04:20.064563,39.5,56.2,2.5,2.5,33,0.0,11.1,9.0,1,73.55
W0178,2025-09-12 17:04:20.064563,22.4,91.6,0.0,0.0,60,0.0,83.1,0.0,0,0.0
W0179,2024-03-18 17:04:20.064563,45.0,53.7,0.0,0.0,41,2.8,54.2,20.0,1,136.84
W0180,2025-11-21 17:04:20.064563,31.3,48.9,1.4,1.4,55,0.9,81.6,0.0,0,0.0
W0181,2025-02-12 17:04:20.064563,16.4,87.6,0.0,0.0,54,0.0,61.8,0.0,0,0.0
W0182,2025-07-31 17:04:20.064563,14.3,95.9,3.4,3.4,34,0.0,39.2,0.0,0,0.0
W0183,2024-04-06 17:04:20.064563,29.8,71.5,0.0,0.0,21,0.0,60.1,0.0,0,0.0
W0184,2024-07-10 17:04:20.064563,22.8,69.6,0.0,0.0,28,1.4,63.6,0.0,0,0.0
W0185,2025-03-24 17:04:20.064563,32.1,90.9,0.0,0.0,31,0.0,76.6,2.1945000000000023,0,0.0
W0186,2025-01-26 17:04:20.064563,29.7,52.6,0.0,0.0,28,1.6,83.1,0.0,0,0.0
W0187,2024-11-18 17:04:20.064563,24.3,62.8,0.2,0.2,56,0.2,66.3,0.0,0,0.0
W0188,2024-05-16 17:04:20.064563,16.5,87.5,8.2,8.2,73,0.0,99.0,0.0,0,0.0
W0189,2024-11-19 17:04:20.064563,9.9,100.0,18.7,18.7,15,0.0,77.9,4.675,0,0.0
W0190,2025-10-19 17:04:20.064563,20.5,70.8,0.4,0.4,37,1.3,91.1,0.0,0,0.0
W0191,2024-06-06 17:04:20.064563,33.6,57.0,0.0,0.0,33,0.5,31.9,0.0,0,0.0
W0192,2024-06-13 17:04:20.064563,27.1,80.1,2.2,2.2,57,0.9,31.6,0.0,0,0.0
W0193,2025-07-28 17:04:20.064563,12.5,91.0,14.2,14.2,24,0.0,36.2,3.55,0,0.0
W0194,2024-05-27 17:04:20.064563,26.7,66.6,0.0,0.0,43,0.7,44.0,0.0,0,0.0
W0195,2025-09-14 17:04:20.064563,28.9,72.4,0.0,0.0,19,1.5,96.1,0.0,0,0.0
W0196,2024-07-24 17:04:20.064563,16.2,88.5,0.0,0.0,23,0.6,7.4,0.0,0,0.0
W0197,2024-07-27 17:04:20.064563,26.5,80.5,0.0,0.0,46,0.0,49.8,0.0,0,0.0
W0198,2026-01-22 17:04:20.064563,25.6,84.5,0.3,0.3,45,0.5,16.1,0.0,0,0.0
W0199,2025-07-17 17:04:20.064563,13.6,92.7,3.7,3.7,33,0.8,81.1,0.0,0,0.0
W0200,2025-10-01 17:04:20.064563,28.6,70.1,0.7,0.7,52,1.7,3.1,0.0,0,0.0
W0201,2024-09-03 17:04:20.064563,30.6,66.2,3.1,3.1,15,0.6,45.5,0.0,0,0.0
W0202,2024-12-14 17:04:20.064563,35.8,61.1,15.5,15.5,15,1.1,39.5,5.474999999999994,1,91.89
W0203,2025-09-09 17:04:20.064563,35.5,57.2,1.7,1.7,41,0.6,9.2,1.0,0,0.0
W0204,2025-11-29 17:04:20.064563,11.2,93.2,0.0,0.0,19,0.0,37.7,0.0,0,0.0
W0205,2025-05-25 17:04:20.064563,15.6,98.5,0.0,0.0,26,0.8,80.9,0.0,0,0.0
W0206,2024-10-20 17:04:20.064563,30.2,79.9,5.0,5.0,42,0.1,13.7,0.09899999999999971,0,0.0
W0207,2025-09-21 17:04:20.064563,30.1,49.7,0.0,0.0,15,2.0,98.4,0.0,0,0.0
W0208,2026-02-22 17:04:20.064563,30.2,64.9,1.5,1.5,83,0.0,5.8,0.0,0,0.0
W0209,2024-10-09 17:04:20.064563,45.0,35.6,0.0,0.0,47,0.0,28.9,20.0,0,0.0
W0210,2026-03-18 17:04:20.064563,30.7,60.8,0.0,0.0,35,0.7,77.5,0.0,0,0.0
W0211,2025-01-31 17:04:20.064563,36.4,59.5,0.0,0.0,30,1.5,35.8,2.799999999999997,0,0.0
W0212,2025-04-30 17:04:20.064563,34.5,64.9,7.4,7.4,36,0.0,48.0,0.0,0,0.0
W0213,2026-02-03 17:04:20.064563,31.5,61.6,0.0,0.0,26,0.0,18.7,0.0,0,0.0
W0214,2026-01-12 17:04:20.064563,21.8,58.1,6.5,6.5,15,0.2,71.5,0.0,0,0.0
W0215,2025-04-04 17:04:20.064563,32.6,51.5,0.0,0.0,63,0.0,18.0,0.0,0,0.0
W0216,2025-06-09 17:04:20.064563,17.3,93.1,0.0,0.0,24,1.0,84.9,0.0,0,0.0
W0217,2025-08-29 17:04:20.064563,22.6,48.6,0.0,0.0,35,0.0,53.9,0.0,0,0.0
W0218,2025-06-23 17:04:20.064563,20.1,91.7,0.0,0.0,17,0.7,54.8,0.0,0,0.0
W0219,2024-07-19 17:04:20.064563,25.8,76.5,0.0,0.0,37,0.0,93.4,0.0,0,0.0
W0220,2024-11-26 17:04:20.064563,45.0,55.7,0.0,0.0,43,1.7,77.3,20.0,1,247.32
W0221,2024-11-03 17:04:20.064563,6.3,98.5,4.6,4.6,55,0.0,74.3,0.0,0,0.0
W0222,2024-05-22 17:04:20.064563,31.9,41.6,2.2,2.2,15,0.0,85.8,0.0,1,38.22
W0223,2025-02-27 17:04:20.064563,8.9,100.0,0.0,0.0,15,2.3,9.2,0.0,0,0.0
W0224,2024-04-08 17:04:20.064563,20.3,92.3,3.6,3.6,17,0.1,72.6,0.0,0,0.0
W0225,2025-11-10 17:04:20.064563,35.9,65.4,12.6,12.6,15,0.0,23.3,4.9499999999999975,1,30.8
W0226,2025-10-06 17:04:20.064563,25.6,64.9,0.5,0.5,28,0.0,28.1,0.0,0,0.0
W0227,2024-11-08 17:04:20.064563,14.2,89.5,0.0,0.0,39,0.0,1.5,0.0,0,0.0
W0228,2025-11-10 17:04:20.064563,17.8,77.9,0.0,0.0,74,0.3,89.4,0.0,0,0.0
W0229,2024-10-29 17:04:20.064563,31.8,54.1,15.0,15.0,15,0.5,73.9,3.75,0,0.0
W0230,2024-03-25 17:04:20.064563,17.7,93.0,0.0,0.0,15,0.3,13.9,0.0,0,0.0
W0231,2024-05-29 17:04:20.064563,27.2,57.3,0.0,0.0,23,0.0,32.8,0.0,0,0.0
W0232,2026-03-12 17:04:20.064563,25.5,62.9,0.0,0.0,34,0.1,48.0,0.0,0,0.0
W0233,2025-12-24 17:04:20.064563,18.5,71.2,0.0,0.0,15,0.3,49.4,0.0,0,0.0
W0234,2024-05-17 17:04:20.064563,45.0,27.6,0.0,0.0,31,0.3,59.6,20.0,1,176.6
W0235,2024-11-07 17:04:20.064563,31.3,64.5,0.0,0.0,29,0.0,47.2,0.0,0,0.0
W0236,2024-05-26 17:04:20.064563,4.7,100.0,1.7,1.7,27,0.0,64.9,0.0,0,0.0
W0237,2024-04-19 17:04:20.064563,26.9,67.9,0.9,0.9,39,0.0,88.4,0.0,0,0.0
W0238,2025-02-19 17:04:20.064563,18.4,67.4,0.0,0.0,23,1.2,39.8,0.0,0,0.0
W0239,2024-05-29 17:04:20.064563,33.5,68.1,0.5,0.5,35,0.0,87.7,0.0,0,0.0
W0240,2025-08-26 17:04:20.064563,17.1,100.0,13.1,13.1,15,0.0,22.0,3.275,0,0.0
W0241,2024-11-16 17:04:20.064563,23.9,67.8,0.0,0.0,15,0.0,12.1,0.0,0,0.0
W0242,2024-12-28 17:04:20.064563,30.0,60.1,1.8,1.8,15,0.0,23.9,0.0,0,0.0
W0243,2026-02-01 17:04:20.064563,33.7,64.7,1.4,1.4,15,0.6,20.7,0.0,0,0.0
W0244,2025-07-28 17:04:20.064563,13.0,100.0,11.8,11.8,15,0.0,98.5,2.95,0,0.0
